iter	Passed	Remaining
0	211	211462
1	351	175165
2	492	163568
3	629	156735
4	766	152437
5	906	150167
6	1036	147054
7	1169	144977
8	1296	142780
9	1434	141982
10	1565	140761
11	1688	139000
12	1821	138268
13	1929	135898
14	2055	134998
15	2189	134671
16	2318	134040
17	2434	132801
18	2567	132571
19	2687	131674
20	2805	130773
21	2924	130017
22	3048	129484
23	3172	129026
24	3295	128510
25	3420	128135
26	3538	127500
27	3660	127084
28	3779	126536
29	3892	125868
30	4014	125493
31	4132	125004
32	4259	124829
33	4373	124257
34	4484	123635
35	4601	123212
36	4734	123222
37	4837	122454
38	4957	122169
39	5074	121785
40	5203	121715
41	5326	121493
42	5472	121803
43	5589	121434
44	5709	121177
45	5825	120822
46	5949	120644
47	6070	120389
48	6192	120179
49	6315	119993
50	6435	119754
51	6566	119712
52	6698	119688
53	6817	119427
54	6940	119253
55	7068	119146
56	7179	118776
57	7293	118460
58	7423	118404
59	7546	118223
60	7675	118148
61	7788	117838
62	7897	117456
63	8008	117119
64	8131	116971
65	8253	116802
66	8374	116613
67	8509	116626
68	8629	116430
69	8746	116206
70	8865	116002
71	8978	115716
72	9093	115468
73	9201	115143
74	9319	114945
75	9437	114740
76	9548	114456
77	9660	114196
78	9772	113930
79	9894	113790
80	10018	113662
81	10139	113515
82	10256	113319
83	10363	113016
84	10492	112943
85	10600	112662
86	10713	112434
87	10820	112135
88	10931	111897
89	11049	111720
90	11165	111533
91	11301	111545
92	11421	111392
93	11540	111227
94	11657	111055
95	11779	110922
96	11897	110758
97	12009	110535
98	12132	110417
99	12242	110184
100	12346	109894
101	12461	109708
102	12602	109753
103	12726	109644
104	12833	109387
105	12955	109270
106	13067	109060
107	13190	108939
108	13305	108761
109	13415	108546
110	13531	108374
111	13647	108203
112	13768	108074
113	13875	107839
114	13994	107699
115	14116	107574
116	14229	107388
117	14350	107266
118	14464	107089
119	14597	107046
120	14720	106935
121	14843	106821
122	14960	106666
123	15076	106506
124	15183	106286
125	15298	106121
126	15449	106199
127	15554	105967
128	15684	105901
129	15800	105740
130	15927	105659
131	16058	105595
132	16192	105556
133	16322	105485
134	16431	105284
135	16538	105067
136	16655	104919
137	16766	104728
138	16953	105013
